pt;y;cent;chi2;fitStat;doIterativeFit;modelSig_mass;mean_mass;sigma_mass;alpha0_mass;n0_mass;alpha1_mass;n1_mass;modelBkg_mass;c0_mass;c1_mass;c2_mass;c3_mass;
1-2;2.5-3.6;0-100;0-58;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-58;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-58;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-59;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-59;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-59;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-59;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-60;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-60;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-60;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-60;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-61;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-61;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-61;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-61;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-62;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-62;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-62;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-62;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-63;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-63;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-63;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-63;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-64;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-64;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-64;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-64;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-65;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-65;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-65;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-65;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-66;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-66;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-66;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-66;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-67;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-67;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-67;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-67;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-68;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-68;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-68;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-68;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-69;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-69;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-69;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-69;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-70;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-70;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-70;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-70;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-71;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-71;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-71;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-71;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-72;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-72;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-72;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-72;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-73;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-73;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-73;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-73;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-74;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-74;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-74;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-74;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
0-1;2.5-3.6;0-100;0-75;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
1-2;2.5-3.6;0-100;0-75;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
2-5;2.5-3.6;0-100;0-75;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
5-15;2.5-3.6;0-100;0-75;todo;true;extCB;[3.096,3,3.2];[0.05,0.04,0.07];[0.763];[4.963];[2.125];[0.889];ChevPol3;[-1,-2,2];[0.5,-2,2];[-0.1,-0.4,0.4];[0.5,-0.1,0.1];
